x=507, y=1652..1666
x=559, y=827..840
x=581, y=155..171
y=413, x=529..531
x=476, y=1587..1593
x=607, y=1751..1759
x=519, y=1615..1617
y=1760, x=623..633
x=534, y=1004..1014
x=526, y=1156..1166
y=971, x=489..506
x=507, y=951..953
x=631, y=1255..1267
x=577, y=1729..1745
x=611, y=709..726
y=893, x=480..483
x=589, y=983..998
y=1627, x=614..625
y=1759, x=605..607
x=477, y=1493..1495
x=476, y=1831..1847
y=798, x=547..567
x=619, y=1432..1457
x=535, y=1359..1370
x=603, y=348..349
y=131, x=497..505
x=491, y=635..646
x=531, y=1240..1250
y=530, x=564..591
y=1086, x=580..582
y=49, x=639..643
x=482, y=1407..1414
x=623, y=159..176
x=642, y=1673..1684
y=998, x=586..589
y=744, x=628..645
y=377, x=491..516
x=533, y=1275..1284
x=505, y=264..278
x=586, y=783..792
x=527, y=843..851
y=1415, x=595..599
x=588, y=1260..1270
x=537, y=308..318
x=510, y=1424..1426
x=573, y=355..365
y=1844, x=539..552
y=1268, x=509..511
x=509, y=1185..1188
y=81, x=594..600
x=644, y=1837..1849
x=529, y=411..413
y=1570, x=585..610
y=433, x=594..599
y=726, x=611..623
y=58, x=503..506
y=433, x=538..555
x=636, y=804..808
x=505, y=733..758
y=1851, x=558..563
x=485, y=33..44
y=1198, x=563..574
x=538, y=245..257
y=1191, x=471..515
y=1432, x=637..643
x=580, y=1079..1086
x=606, y=1577..1579
y=1705, x=499..608
x=625, y=1262..1264
y=657, x=510..549
x=523, y=225..234
y=1060, x=498..517
x=611, y=683..699
y=95, x=546..570
x=547, y=60..66
y=77, x=553..558
x=586, y=1260..1270
x=517, y=1546..1558
x=492, y=977..1000
x=627, y=1184..1195
x=476, y=614..625
x=618, y=1223..1242
y=1778, x=466..485
y=1599, x=495..520
x=569, y=1658..1660
x=599, y=1415..1421
x=538, y=1451..1459
x=503, y=155..167
x=578, y=1773..1775
x=502, y=1424..1426
y=1663, x=627..642
y=1342, x=556..564
x=557, y=492..507
x=630, y=181..203
x=621, y=191..194
x=582, y=1317..1329
x=510, y=23..42
x=644, y=664..688
x=489, y=962..971
x=529, y=1259..1269
x=636, y=1515..1522
x=600, y=55..59
x=547, y=1356..1366
x=513, y=857..867
x=607, y=1381..1384
y=943, x=481..485
x=616, y=1855..1865
x=582, y=1390..1410
y=559, x=474..479
x=537, y=492..504
x=644, y=1362..1375
y=1830, x=498..505
x=568, y=61..66
x=647, y=849..872
x=514, y=110..122
x=519, y=446..459
y=1301, x=484..491
x=509, y=94..103
x=637, y=1466..1474
x=555, y=763..775
y=318, x=517..537
y=504, x=487..537
x=558, y=804..816
x=646, y=1862..1867
x=519, y=1493..1499
x=522, y=30..32
x=646, y=1771..1789
x=527, y=1278..1288
y=564, x=469..486
y=203, x=606..630
x=557, y=1072..1080
x=529, y=511..522
x=500, y=272..296
y=604, x=511..525
x=560, y=1730..1745
x=470, y=1534..1541
y=99, x=500..503
y=191, x=621..623
y=1003, x=609..630
y=734, x=542..566
x=476, y=602..606
x=649, y=70..94
y=1763, x=598..614
x=529, y=1024..1038
x=562, y=6..11
x=541, y=1421..1431
x=502, y=1848..1849
x=577, y=151..174
x=517, y=1259..1271
y=437, x=632..637
x=571, y=1106..1109
x=642, y=346..355
x=534, y=825..834
x=527, y=963..973
y=1660, x=569..571
y=259, x=638..645
y=122, x=514..518
x=562, y=708..711
x=617, y=998..1000
x=602, y=1710..1719
y=1485, x=528..534
x=510, y=1522..1529
x=631, y=973..977
y=1366, x=544..547
x=635, y=1721..1724
x=477, y=575..586
x=489, y=616..628
x=600, y=657..660
y=1058, x=599..605
x=601, y=1812..1829
x=568, y=569..577
x=534, y=846..856
x=607, y=257..280
y=522, x=529..550
x=551, y=847..859
x=503, y=242..243
y=876, x=534..550
x=515, y=1323..1325
y=680, x=521..523
x=481, y=1093..1100
y=1434, x=529..548
y=1515, x=542..544
x=562, y=1652..1663
x=631, y=1890..1892
y=1890, x=631..633
x=646, y=943..948
x=621, y=874..877
y=1342, x=483..489
y=1620, x=530..585
x=629, y=1535..1556
y=459, x=497..519
x=544, y=112..126
y=1630, x=485..487
x=516, y=1203..1206
y=278, x=566..572
y=1653, x=488..504
y=1222, x=569..572
x=503, y=1664..1676
x=479, y=559..561
x=494, y=947..957
x=539, y=864..871
x=552, y=1833..1844
x=484, y=847..852
x=528, y=496..501
y=1034, x=616..629
x=541, y=788..799
x=642, y=1862..1867
y=1410, x=537..539
y=1883, x=472..492
x=645, y=848..872
x=572, y=1636..1638
y=1413, x=524..546
x=596, y=1773..1783
x=550, y=475..476
y=501, x=503..528
x=482, y=513..522
y=578, x=624..651
x=529, y=1652..1666
x=509, y=1266..1268
y=95, x=475..482
y=606, x=476..480
x=518, y=283..292
x=615, y=485..488
x=636, y=926..932
x=565, y=113..126
x=566, y=42..46
x=604, y=1864..1887
y=887, x=615..635
x=531, y=141..153
y=85, x=500..523
y=436, x=564..574
y=792, x=635..649
x=546, y=1730..1755
x=484, y=1093..1100
x=570, y=72..95
y=399, x=637..640
x=553, y=1358..1370
x=521, y=48..53
x=470, y=888..898
x=573, y=1345..1358
x=495, y=1134..1147
x=468, y=57..63
y=721, x=594..602
x=561, y=804..816
y=55, x=634..651
y=1351, x=498..535
x=621, y=437..454
x=491, y=1301..1303
x=500, y=97..99
y=982, x=565..568
x=604, y=1731..1740
y=231, x=541..549
x=535, y=1339..1351
x=474, y=559..561
x=500, y=834..836
x=541, y=611..618
x=555, y=1463..1471
y=417, x=519..537
y=1035, x=517..519
x=490, y=281..287
x=594, y=1254..1276
y=819, x=552..569
x=595, y=1214..1223
y=1358, x=573..594
x=600, y=525..535
y=1849, x=626..644
x=589, y=1120..1145
y=376, x=542..549
x=518, y=845..856
y=193, x=583..588
x=586, y=1504..1506
x=635, y=871..887
x=577, y=827..840
y=308, x=610..615
y=1143, x=503..505
x=626, y=1837..1849
x=487, y=93..103
x=497, y=446..459
x=624, y=572..578
x=542, y=1513..1515
x=613, y=1307..1312
y=1498, x=625..642
x=635, y=1336..1338
x=566, y=1012..1027
x=567, y=831..836
y=256, x=473..496
x=567, y=1526..1538
x=509, y=1749..1758
x=529, y=963..973
y=170, x=634..642
y=1534, x=555..559
x=566, y=270..278
x=553, y=1757..1764
y=714, x=554..573
x=494, y=1242..1253
y=1676, x=499..503
x=569, y=1036..1049
y=1117, x=498..503
x=560, y=869..882
y=117, x=572..588
y=853, x=585..604
x=523, y=550..565
x=638, y=234..259
y=688, x=644..649
x=529, y=311..314
x=507, y=1532..1540
x=626, y=1858..1871
y=103, x=487..509
x=546, y=676..689
x=646, y=1514..1526
y=1121, x=498..503
y=903, x=566..584
y=1758, x=489..509
x=572, y=1214..1222
x=513, y=222..230
x=604, y=833..853
x=545, y=1525..1538
x=547, y=745..748
x=594, y=1345..1358
y=1270, x=586..588
y=977, x=603..631
x=610, y=1669..1690
y=994, x=507..511
x=504, y=385..398
y=1389, x=476..478
x=536, y=1421..1431
y=1745, x=560..577
y=349, x=542..568
y=422, x=622..639
x=517, y=1022..1035
x=542, y=725..734
y=989, x=541..544
x=602, y=703..721
y=748, x=545..547
x=651, y=1027..1048
x=497, y=31..41
x=530, y=1450..1459
x=620, y=49..52
x=640, y=1515..1526
x=613, y=1096..1102
y=454, x=619..621
x=591, y=556..582
y=1426, x=502..510
x=527, y=741..751
x=520, y=1594..1599
y=1797, x=501..509
x=534, y=1682..1684
x=597, y=219..232
y=1871, x=608..626
x=474, y=1493..1495
x=617, y=485..488
x=609, y=470..492
x=531, y=1219..1230
x=541, y=864..871
x=507, y=985..994
y=1230, x=514..531
x=584, y=602..609
x=584, y=382..410
y=785, x=488..502
x=488, y=9..18
y=282, x=638..650
y=1688, x=516..540
y=918, x=520..568
y=397, x=475..480
y=234, x=479..485
x=549, y=657..659
y=1457, x=619..628
x=503, y=1157..1166
y=75, x=630..638
x=604, y=771..776
y=1303, x=484..491
y=640, x=572..579
y=257, x=515..538
x=547, y=786..798
x=573, y=888..897
y=758, x=479..505
x=517, y=1047..1060
y=1449, x=556..559
x=473, y=1404..1421
y=897, x=573..577
x=502, y=134..143
y=1834, x=560..585
x=519, y=948..957
y=56, x=503..506
x=613, y=46..50
y=932, x=484..504
x=553, y=77..88
y=957, x=494..519
y=1145, x=572..589
x=510, y=467..481
y=1206, x=590..595
x=538, y=424..433
x=487, y=1847..1852
x=534, y=1058..1077
x=551, y=590..601
y=817, x=494..520
x=503, y=1117..1121
x=582, y=309..311
y=146, x=493..509
x=631, y=959..966
y=776, x=584..604
x=486, y=1600..1616
y=338, x=504..524
x=641, y=1198..1209
y=1459, x=530..538
x=593, y=1864..1887
y=1102, x=592..613
y=872, x=645..647
y=577, x=568..571
y=1267, x=616..631
x=572, y=1678..1685
x=641, y=1707..1727
x=637, y=1295..1310
y=176, x=607..623
x=585, y=1567..1570
y=1082, x=485..504
x=594, y=421..433
y=164, x=508..510
x=488, y=169..174
y=646, x=472..491
x=645, y=234..259
x=585, y=451..474
x=483, y=11..25
x=560, y=1821..1834
x=609, y=991..1003
x=619, y=438..454
x=491, y=940..954
y=280, x=591..607
x=586, y=231..248
x=537, y=1404..1410
x=570, y=1316..1324
x=646, y=799..811
x=629, y=1022..1034
x=633, y=1772..1789
x=511, y=1025..1038
x=632, y=433..437
x=614, y=1754..1763
x=571, y=1658..1660
y=1230, x=467..481
y=595, x=637..643
x=637, y=648..675
y=873, x=522..525
y=171, x=581..594
y=1285, x=471..496
x=566, y=234..236
x=592, y=1713..1722
x=587, y=1583..1592
y=826, x=472..482
x=565, y=287..295
x=632, y=1674..1684
y=243, x=594..614
x=471, y=513..522
y=1598, x=636..638
x=587, y=286..295
y=1436, x=566..582
x=615, y=18..28
x=566, y=1372..1377
y=418, x=627..631
y=871, x=539..541
x=517, y=78..80
x=554, y=277..300
x=515, y=246..257
x=585, y=834..853
y=489, x=628..637
y=1264, x=623..625
x=574, y=203..212
y=28, x=615..624
x=643, y=1405..1432
x=569, y=1880..1885
x=634, y=38..55
x=583, y=782..792
x=483, y=1050..1053
x=562, y=1486..1499
x=637, y=475..489
